@relation statlog-image

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute clase {0,1,2,3,4,5,6}

@data
0.919536,0.584211,-0.35697,-0.19451,-0.310638,-0.115994,-0.456207,-0.1374,-0.49031,-0.540359,-0.619509,-0.282051,-0.055464,-1.26417,2.1975,-0.495054,-0.038145,2.45999,6
1.15255,2.18466,-0.35697,-0.19451,0.203973,-0.046374,0.097797,-0.068631,-0.695012,-0.721121,-0.828828,-0.502044,0.328221,-1.46287,2.1494,-0.681439,0.466095,2.27761,6
-0.094767,0.027533,-0.35697,-0.19451,-0.578236,-0.12066,-0.425429,-0.134318,-0.940462,-0.936767,-0.943698,-0.929808,0.798236,-0.792975,0.543088,-0.979139,2.51022,-0.525937,2
-1.12278,0.49723,-0.35697,-0.19451,0.018713,-0.089236,-0.333095,-0.126065,-0.93076,-0.908226,-0.948803,-0.920642,0.961302,-0.883808,0.533469,-0.984316,0.97142,-0.369073,4
1.67341,-0.546542,-0.35697,-0.19451,-0.372392,-0.115746,-0.548541,-0.138156,-0.654266,-0.721121,-0.542929,-0.715926,-0.074648,0.206194,-0.274498,-0.572714,0.898928,-0.50148,4
-0.84864,1.34964,-0.35697,-0.19451,0.080467,-0.088639,0.020852,-0.112003,0.643802,0.629841,0.741062,0.533757,-0.650177,1.17698,-1.34217,0.729396,-0.559241,-0.434353,5
-1.25984,-0.111637,-0.35697,-0.19451,-0.598821,-0.126895,-0.640875,-0.139668,-0.942402,-0.936767,-0.943698,-0.935919,0.81742,-0.781621,0.504613,-0.979139,2.51022,-0.498104,2
-0.094767,-0.668315,-0.35697,-0.19451,0.51274,-0.028783,-0.040704,-0.024233,-0.756132,-0.835287,-0.673115,-0.770924,-0.103425,-0.066307,0.216053,-0.704738,1.52087,-0.625234,2
-0.053646,-1.10322,-0.35697,-0.19451,0.14222,-0.075361,0.128575,-0.091302,-0.270084,-0.232745,-0.205977,-0.379825,0.558433,0.206194,-0.909329,-0.231008,-0.020117,-0.267396,0
1.27591,-0.146429,-0.35697,-0.19451,-0.351807,-0.1154,-0.56393,-0.133545,-0.36904,-0.381795,-0.338716,-0.388992,0.184339,-0.100369,-0.014794,-0.365619,-0.384321,-0.50848,4
1.15255,-1.95563,-0.35697,-0.19451,-0.392976,-0.12161,-0.071482,-0.074614,2.7374,2.9195,2.43348,2.89563,-0.57344,0.217548,0.206435,2.4457,-1.43252,-0.672145,1
-0.958295,1.48881,2.41015,-0.19451,-0.022456,-0.098425,-0.286928,-0.123199,-0.642624,-0.641839,-0.777774,-0.474545,0.529656,-1.42881,1.8897,-0.658141,-0.083173,2.24037,6
-1.02683,1.31485,-0.35697,-0.19451,0.492156,-0.060883,0.882635,-0.061684,0.487607,0.464934,0.587902,0.38404,-0.602216,1.06911,-1.20751,0.574075,-0.501418,-0.441674,5
0.480919,-1.43375,-0.35697,-0.19451,-0.392976,-0.109254,-0.610097,-0.137245,-0.952103,-0.920911,-0.987093,-0.929808,1.05722,-1.01438,0.658511,-1.02315,0.482433,-0.312051,4
0.234196,0.288476,-0.35697,-0.19451,0.862676,-0.098457,-0.25615,-0.127884,-0.277846,-0.267629,-0.272346,-0.291217,0.318629,-0.191203,0.004443,-0.298313,-0.621058,-0.477301,3
-1.58881,-0.511749,-0.35697,-0.19451,-0.475314,-0.115003,-0.394651,-0.128836,1.99426,2.114,1.91529,1.95149,-0.535071,1.10885,-1.34217,1.92019,-1.09546,-0.42218,1
-0.231835,0.392853,-0.35697,-0.19451,-0.701743,-0.127308,-0.671653,-0.140171,-0.970536,-0.936767,-1.01517,-0.938975,1.09559,-1.09386,0.754698,-1.05162,-1.8698,0.881942,2
-0.944588,-0.285599,-0.35697,-0.19451,-0.290054,-0.122683,0.636412,0.203236,0.334322,0.382481,0.324978,0.295431,0.165155,0.211871,-0.524583,0.30744,-0.860404,-0.406739,3
-0.972001,0.914738,-0.35697,-0.19451,0.080467,-0.111955,0.067019,-0.094406,0.356636,0.376139,0.424532,0.252655,-0.113017,0.745518,-1.1498,0.408399,-0.518243,-0.380832,5
-1.15019,-0.355184,-0.35697,-0.19451,0.203974,-0.058266,-0.179205,-0.114729,0.6341,0.661553,0.67214,0.555145,-0.266491,0.773904,-1.04399,0.659502,-0.732717,-0.414165,3
-0.793813,0.218891,-0.35697,-0.19451,1.78898,-0.044618,0.067019,-0.085808,-0.564041,-0.679894,-0.433164,-0.602874,-0.592624,0.41057,-0.101362,-0.461401,1.02457,-0.611268,2
1.70082,-1.13801,-0.35697,-0.19451,-0.207716,-0.106285,-0.594708,-0.134599,-0.738669,-0.765519,-0.680773,-0.77398,0.356998,-0.219588,0.014062,-0.712504,0.792234,-0.4675,4
-0.478557,-0.389976,2.41015,-0.19451,-0.372391,-0.118719,-0.194594,-0.108117,-0.444712,-0.356425,-0.440822,-0.529543,1.16274,-0.338807,-0.591914,-0.469167,-0.100107,-0.101744,0
0.755054,1.74976,-0.35697,-0.19451,0.677416,-0.044639,0.328632,-0.044637,-0.572773,-0.603784,-0.708852,-0.373715,0.184339,-1.37772,2.1494,-0.572714,0.07219,2.36916,6
-0.396316,-1.92084,-0.35697,-0.19451,-0.392977,-0.116654,-0.517763,-0.136645,2.48128,2.54846,2.31095,2.59314,-1.40796,0.8988,-0.110981,2.32144,-1.18403,-0.662221,1
-0.177007,-0.581334,-0.35697,-0.19451,2.03599,0.027566,-0.317706,-0.125211,0.736937,0.709122,0.817642,0.659031,-0.851611,1.14292,-1.08246,0.807057,-0.650641,-0.482689,3
1.23479,1.01912,-0.35697,-0.19451,0.245142,-0.094514,0.082408,-0.106465,0.4488,0.449078,0.529191,0.347374,-0.362413,0.904477,-1.16903,0.514535,-0.538055,-0.414916,5
1.37186,-1.13801,-0.35697,-0.19451,-0.578236,-0.117906,-0.548541,-0.134318,-0.752252,-0.778204,-0.690984,-0.792313,0.376182,-0.208234,-0.024413,-0.722858,0.855546,-0.456643,4
-0.50597,-0.59873,-0.35697,-0.19451,-0.413561,-0.118719,0.344021,-0.071402,-0.385533,-0.31837,-0.36169,-0.474545,0.922934,-0.15714,-0.659244,-0.388918,-0.101645,-0.169989,0
-0.46485,-0.059448,-0.35697,-0.19451,-0.187131,-0.106594,-0.502374,-0.127041,-0.529116,-0.616469,-0.422954,-0.566209,-0.362413,0.274319,-0.101362,-0.451046,0.592464,-0.561641,2
-0.930881,-1.41635,-0.35697,-0.19451,0.162805,-0.107926,-0.394651,-0.128282,0.01029,-0.001242,0.082474,-0.065113,-0.113017,0.490049,-0.716956,0.061515,-0.403974,-0.431398,3
1.17996,0.114514,-0.35697,-0.19451,-0.701743,-0.127308,-0.671653,-0.140171,-0.970536,-0.936767,-1.01517,-0.938975,1.09559,-1.09386,0.754698,-1.05162,-1.8698,0.881942,4
-1.20502,-0.059448,-0.35697,-0.19451,-0.392976,-0.119628,-0.379262,-0.132299,-0.920088,-0.930425,-0.913066,-0.90842,0.654354,-0.707818,0.543088,-0.948074,2.348,-0.605168,2
-0.972001,0.288476,2.41015,-0.19451,-0.434145,-0.117429,-0.179205,-0.122368,-0.752252,-0.828944,-0.693536,-0.74037,-0.084241,-0.225265,0.466138,-0.725447,1.34719,-0.698506,2
0.946949,-0.894465,-0.35697,-0.19451,-0.331223,-0.118389,-0.348484,-0.120712,1.47716,1.32435,1.67534,1.37095,-2.58779,2.5338,-1.69806,1.67686,-0.45321,-0.558379,1
-0.533384,-0.616126,2.41015,-0.19451,0.059882,-0.085272,-0.194594,-0.082423,-0.416578,-0.324712,-0.41019,-0.508155,1.17233,-0.299068,-0.668863,-0.438103,-0.095375,-0.096845,0
-0.738986,0.984323,2.41015,-0.19451,-0.248885,-0.114755,0.159353,-0.108432,-0.385533,-0.413508,-0.522508,-0.190387,0.059642,-1.23011,2.02436,-0.417393,-0.435858,2.46984,6
0.028594,-0.059448,2.41015,-0.19451,-0.084209,-0.108478,0.220909,-0.071654,-0.350607,-0.305684,-0.315742,-0.431768,0.692723,-0.054952,-0.601532,-0.342321,-0.140293,-0.260133,0
0.206783,0.010137,-0.35697,-0.19451,-0.331223,-0.117398,-0.363873,-0.122286,-0.904566,-0.930425,-0.874776,-0.905365,0.50088,-0.543183,0.418045,-0.909244,2.39531,-0.585352,2
-1.05424,-0.7379,-0.35697,-0.19451,-0.475314,-0.12194,-0.425429,-0.132866,1.98747,2.07911,1.94592,1.92705,-0.784467,1.35297,-1.50569,1.95126,-1.02411,-0.433945,1
-1.52027,0.253683,-0.35697,-0.19451,-0.516483,-0.124583,-0.533152,-0.138849,-0.840536,-0.74332,-0.890092,-0.865644,1.56561,-1.02006,0.158341,-0.893712,0.775014,0.414152,0
-0.382609,0.114514,-0.35697,-0.19451,-0.434145,-0.115994,-0.379262,-0.128521,-0.817252,-0.727464,-0.856907,-0.847311,1.47928,-0.934902,0.100629,-0.873002,0.627275,0.258746,0
-0.204421,1.01912,-0.35697,-0.19451,0.183389,-0.087305,0.036241,-0.113668,0.244098,0.281001,0.27903,0.164046,0.136379,0.433278,-0.870855,0.260843,-0.609906,-0.367008,5
1.646,1.9933,2.41015,-0.19451,-0.084209,-0.070702,-0.025315,-0.098676,-0.736729,-0.756005,-0.864565,-0.557042,0.424143,-1.4572,2.0436,-0.728036,0.745138,2.25774,6
-0.588211,0.253683,-0.35697,-0.19451,-0.372392,-0.115746,-0.425429,-0.133622,-0.933671,-0.936767,-0.928382,-0.926753,0.731091,-0.730527,0.504613,-0.963607,2.51022,-0.524846,2
0.097128,-0.685711,-0.35697,-0.19451,0.409818,-0.099898,-0.425429,-0.132428,-0.737699,-0.727464,-0.74459,-0.731203,0.692723,-0.651047,0.408426,-0.777221,-0.203275,-0.50089,3
1.50893,1.26266,-0.35697,-0.19451,-0.084209,-0.097577,-0.056093,-0.120647,0.267381,0.255631,0.330083,0.200712,-0.324044,0.637654,-0.755431,0.312617,-0.581032,-0.460559,5
0.30273,-0.633523,-0.35697,-0.19451,1.83015,0.020284,-0.240761,-0.111345,0.164545,0.144636,0.245845,0.084604,-0.314452,0.677393,-0.83238,0.227191,-0.469481,-0.444881,3
-1.65734,1.50621,-0.35697,-0.19451,1.04794,-0.037693,0.913413,-0.103019,0.332382,0.325398,0.414321,0.237378,-0.333636,0.81932,-1.05361,0.398044,-0.493257,-0.421615,5
-0.368903,-1.43375,-0.35697,-0.19451,-0.063623,-0.110048,-0.363872,-0.125309,2.62195,2.79265,2.36711,2.73369,-0.583032,0.450309,-0.178312,2.37839,-1.37739,-0.586042,1
1.33074,-0.163825,-0.35697,-0.19451,-0.598821,-0.125904,-0.548541,-0.138912,-0.827924,-0.762348,-0.846696,-0.859533,1.26825,-0.804329,0.091011,-0.880768,0.772117,0.031297,0
-0.03994,-0.00726,-0.35697,-0.19451,-0.475314,-0.118967,-0.533152,-0.136582,-0.939491,-0.936767,-0.938592,-0.932864,0.788644,-0.764589,0.504613,-0.973961,2.51022,-0.5046,2
0.056008,0.584211,-0.35697,-0.19451,0.203973,-0.048356,-0.056093,-0.110951,-0.364189,-0.416679,-0.280004,-0.41038,-0.180162,0.262965,-0.264879,-0.306079,0.014656,-0.521874,3
0.206783,0.653796,-0.35697,-0.19451,-0.598821,-0.12,-0.456207,-0.129618,-0.55822,-0.581585,-0.685878,-0.37677,0.241892,-1.30959,1.97627,-0.575303,-0.1574,2.3995,6
0.68652,1.12349,-0.35697,-0.19451,0.409818,-0.069926,-0.025315,-0.118074,0.490517,0.480791,0.572586,0.396261,-0.48711,0.949894,-1.12094,0.558543,-0.572027,-0.437944,5
0.919536,0.323268,2.41015,-0.19451,-0.516483,-0.124583,-0.25615,-0.131292,-0.848297,-0.74332,-0.902855,-0.87481,1.64234,-1.0598,0.148723,-0.893712,1.02994,0.49053,0
-0.327782,-0.894465,-0.35697,-0.19451,0.224558,-0.021515,-0.179205,-0.033113,-0.276876,-0.264458,-0.193214,-0.385936,0.337813,0.33109,-0.89971,-0.218064,0.04381,-0.312722,0
1.17996,-0.285599,2.41015,-0.19451,0.245142,-0.077096,-0.10226,-0.092247,-0.532026,-0.600613,-0.422954,-0.590652,-0.189754,0.291351,-0.303354,-0.451046,0.526831,-0.515465,4
0.206783,0.027533,-0.35697,-0.19451,-0.598821,-0.125904,-0.486985,-0.134881,-0.808521,-0.727464,-0.839038,-0.8412,1.39295,-0.866777,0.071774,-0.870414,0.520092,0.156004,0
1.31703,-0.285599,-0.35697,-0.19451,-0.269469,-0.122601,-0.440818,-0.134315,-0.912327,-0.927254,-0.892644,-0.911475,0.606393,-0.616985,0.437282,-0.927365,2.27847,-0.558751,2
0.590573,-1.92084,2.41015,-0.19451,-0.207717,-0.117398,-0.302317,-0.13337,2.44538,2.47869,2.32627,2.52897,-1.68613,1.21104,-0.361066,2.33697,-1.0937,-0.642156,1
1.02919,2.20206,-0.35697,-0.19451,0.14222,-0.095628,-0.271539,-0.122733,-0.728968,-0.749662,-0.846696,-0.560098,0.404958,-1.38339,1.93779,-0.730625,0.597861,2.30101,6
-1.39691,-0.668315,-0.35697,-0.19451,-0.166547,-0.103854,-0.179205,-0.123798,-0.500011,-0.397651,-0.512297,-0.57843,1.3354,-0.492089,-0.505346,-0.54165,-0.11888,-0.015511,0
-0.821227,0.340664,-0.35697,-0.19451,-0.578236,-0.124335,-0.548541,-0.138912,-0.838595,-0.749662,-0.879881,-0.865644,1.48887,-0.963288,0.139104,-0.896301,0.737355,0.294746,0
-0.231835,0.079721,-0.35697,-0.19451,1.91248,-0.029895,-0.209983,-0.122248,0.424547,0.385653,0.526638,0.335152,-0.698137,1.02937,-1.04399,0.511946,-0.499171,-0.471761,3
-1.47915,-1.03363,-0.35697,-0.19451,-0.166547,-0.096916,-0.209983,-0.115989,-0.475757,-0.435707,-0.43827,-0.553987,0.750275,-0.140109,-0.514964,-0.466578,0.062192,-0.25406,0
0.851002,0.184098,2.41015,-0.19451,0.409818,-0.081721,-0.363873,-0.133622,-0.271055,-0.356425,-0.154924,-0.324827,-0.554255,0.552497,-0.380303,-0.179234,0.135161,-0.552348,4
0.98807,-0.042052,-0.35697,-0.19451,7.3262,0.259853,-0.41004,-0.124788,0.104395,0.131951,0.120764,0.057105,0.165155,0.19484,-0.495727,0.100345,-0.640864,-0.409386,3
0.864709,-1.41635,-0.35697,-0.19451,-0.41356,-0.115171,-0.209983,-0.118664,1.88269,1.7937,1.88466,1.94538,-2.33839,1.55734,-0.293735,1.88913,-0.810124,-0.67784,1
-0.355196,0.114514,-0.35697,-0.19451,-0.495898,-0.117153,-0.517763,-0.130916,-0.934641,-0.933596,-0.938592,-0.920642,0.76946,-0.792975,0.571943,-0.973961,2.41289,-0.566953,2
-0.410023,-0.911862,-0.35697,-0.19451,-0.310639,-0.10311,-0.056093,-0.076188,1.79732,1.82224,1.79787,1.75289,-1.2353,1.47786,-1.26522,1.80111,-0.940081,-0.504915,1
0.384971,1.19308,-0.35697,-0.19451,0.553909,-0.087582,1.39047,-0.069866,0.429397,0.414194,0.478138,0.380984,-0.48711,0.677393,-0.659244,0.462761,-0.675277,-0.518527,5
-0.094767,0.758173,2.41015,-0.19451,-0.372392,-0.115746,-0.10226,-0.123231,-0.588295,-0.5689,-0.698642,-0.468434,0.654354,-1.21876,1.40877,-0.652964,-0.781588,2.374,6
-0.7664,-0.842277,2.41015,-0.19451,0.080467,-0.095925,-0.25615,-0.102575,-0.374861,-0.308856,-0.341268,-0.474545,0.90375,-0.083338,-0.765049,-0.368208,-0.014856,-0.180533,0
-0.368903,-0.076845,5.17726,-0.19451,-0.166547,-0.115746,0.036241,-0.045204,-0.404936,-0.327883,-0.387216,-0.495933,1.02845,-0.213911,-0.668863,-0.414804,-0.081829,-0.139816,0
-0.903467,-0.129033,-0.35697,-0.19451,0.409818,-0.06459,-0.456207,-0.132428,-0.395234,-0.426193,-0.336163,-0.431768,0.040457,0.069944,-0.159074,-0.363031,-0.136787,-0.505962,4
-1.52027,-1.6599,-0.35697,-0.19451,-0.495899,-0.125656,-0.333095,-0.132866,1.92344,1.85712,1.99697,1.87816,-2.16573,2.06828,-1.33255,2.00303,-0.760347,-0.566847,1
1.41298,-1.41635,2.41015,-0.19451,0.059882,-0.092631,0.528689,-0.102235,0.19656,0.192205,0.227976,0.160991,-0.199346,0.37083,-0.428397,0.20907,-0.680308,-0.490013,3
-0.12218,-1.53812,-0.35697,-0.19451,-0.392976,-0.109877,-0.425429,-0.130916,2.30859,2.31061,2.23182,2.37314,-1.85879,1.38135,-0.47649,2.24119,-1.01634,-0.636586,1
-1.09536,-0.268203,-0.35697,4.39036,8.74652,0.158008,6.88434,0.130711,0.334322,0.255631,0.388794,0.341263,-0.985901,0.637654,-0.091744,0.372157,-0.297482,-0.645552,2
0.028594,-0.094241,-0.35697,-0.19451,3.57982,0.100802,-0.440818,-0.128418,-0.071203,-0.058325,-0.057922,-0.098723,0.174747,0.030204,-0.226405,-0.080864,-0.582298,-0.462534,3
0.371264,1.68017,-0.35697,-0.19451,-0.351807,-0.11203,-0.271539,-0.103393,-0.587325,-0.606955,-0.713958,-0.41038,0.299445,-1.32662,1.94741,-0.603779,-0.044623,2.37475,6
-1.32838,0.13191,-0.35697,-0.19451,-0.619405,-0.125656,-0.456207,-0.136645,-0.834715,-0.746491,-0.877328,-0.859533,1.47928,-0.968965,0.158341,-0.896301,0.609894,0.315955,0
0.768761,-1.88605,-0.35697,-0.19451,-0.392975,-0.122601,-0.27154,-0.119263,2.70441,2.88461,2.42072,2.84063,-0.563847,0.325413,0.014062,2.43275,-1.41148,-0.626185,1
1.0429,0.027533,2.41015,-0.19451,-0.063625,-0.097423,1.69825,-0.042812,0.165515,0.252459,0.110554,0.145714,0.654354,-0.230942,-0.264879,0.08999,-1.02672,-0.309112,3
1.0429,0.027533,-0.35697,-0.19451,-0.331223,-0.117398,2.08298,1.62397,0.150963,0.17952,0.17437,0.093771,0.136379,0.279996,-0.611151,0.154707,-0.6844,-0.394819,3
-0.903467,-0.059448,-0.35697,-0.19451,0.101051,-0.083022,-0.271539,-0.108378,-0.470907,-0.635497,-0.254478,-0.566209,-1.1106,1.05776,-0.678481,-0.280193,1.11416,-0.561926,2
